archivo,persona,transcripcion
Audios_WAV\Leiner\leiner_partes_034.wav,Leiner,no podría ser peor de lo que sucederá si la profundidad continuar destruyendo la tierra la mayoría de teresianos no son tan malos como rajesh sin embargo puedo ver que creen en él hasta cierto punto son hombres sencillos ni filósofos ni eruditos y no comprenden que sus propias profecías dicen que el héroe de las eras será un extranjero
Audios_WAV\Leiner\leiner_partes_035.wav,Leiner,lo que señala rahesh que son un pueblo superior y que deben dominar en vez de estar sometidos ante tanta pasión y odio incluso los hombres buenos pueden ser engañados a otros hombres les preocupa si serán recordados o no yo no siento sus temores incluso descartando las profecías de teno
Audios_WAV\Leiner\leiner_partes_036.wav,Leiner,he traído tal caos conflicto y esperanza a este mundo que hay pocas posibilidades de que sea olvidado me preocupa lo que dirán de mí los historiadores pueden hacer con el paso de lo que quieran dentro de mil años seré recordado como el hombre que protegió la humanidad de un poderoso mal o seré recordado como un tirano arrogante
Audios_WAV\Leiner\leiner_partes_037.wav,Leiner,que trató de convertirse en leyenda aunque muchos terricianos expresan cierto desprecio hacia la ciudad también sienten envidia he visto que los porteadores a hablar con asombro de las catedrales de sus sorprendentes vidrieras pintadas y sus amplios salones también parecen muy afusionados a nuestras modas de vestir en la ciudad de méxico los porteadores de la ciudad de méxico los porteadores de la ciudad de méxico los porteadores de la ciudad de méxico los porteadores de la ciudad de méxico
Audios_WAV\Leiner\leiner_partes_038.wav,Leiner,la vez vi como muchos jóvenes cambiando sus pieles por trajes de caballero hechos a media ahora ya estamos cerca extrañamente en estas alturas de las montañas parecemos finalmente libres de la presión y el contacto de la profundidad ha pasado algún tiempo desde que descubrí lo que era eso el lago que descubrió
Audios_WAV\Leiner\leiner_partes_039.wav,Leiner,fedik está bajo nosotros puedo verlo desde aquí para eso es más extraño desde esta perspectiva con su brillo brillo vetrio casi matálico casi deseo haber permitido tomar una muestra de sus aguas tal vez su interés era lo que enfadó a la criatura de la broma que nos sigue tal vez tal vez por eso decidió atacarlo
Audios_WAV\Leiner\leiner_partes_040.wav,Leiner,apuñalándolo con su cuchillo invisible curiosamente el ataque me consoló al menos se desde entonces que alguien más lo ha visto eso significa que no soy loco nunca quise ser temido y lamento una cosa y es el temor que he causado el miedo es la herramienta de los tiranos y por desgracia
Audios_WAV\Leiner\leiner_partes_041.wav,Leiner,cuando el destino del mundo está en juego usas las herramientas que tienes a mano sé lo que sucediera si tomo la decisión equivocada debo ser fuerte no he de quedarme de poder para mí porque he visto lo que sucederá si lo hago he decidido que tengo que dar gracias al odio de rajesh me hace bien recordar que hay quienes me aborrecien no es mi idea de hacer nada
Audios_WAV\Leiner\leiner_partes_042.wav,Leiner,buscar la popularidad ni el amor sino asegurar la supervivencia de la humanidad hay algo más hermoso que el sol a menudo lo contemplo al salir pues mi sueño inquieto suele despertarme antes del alba cada vez que lo veo me tranquiliza la luz amarilla a asomar por el horizonte siento un poco más de determinación
Audios_WAV\Leiner\leiner_partes_043.wav,Leiner,poco más de esperanza en cierto modo ese es lo que me ha mantenido en marcha todo el tiempo estos son mis temores mientras escribo con la pluma cubierta descarcha la vizpa del renacer del mundo rogelts observa me odia las cabrillas están ahí adelante latiendo mis dedos tiemblan nueve frío mañana terminará extrañamente en ocasiones
Audios_WAV\Leiner\leiner_partes_044.wav,Leiner,siento paz interior se podría pensar que después de todo lo que he sufrido mi alma sería un arrojijo de tensiones confusión y melancolía a menudo así es pero luego está en paz lo siento a veces como ahora asomado sobre el acantilado congelado y las montañas de cristal en la inquietud de la mañana contemplando
Audios_WAV\Leiner\leiner_partes_045.wav,Leiner,amanecer majestuoso que sé que en ningún otro será jamás o igual
