archivo,persona,transcripcion
Audios_WAV\Leiner\leiner_partes_026.wav,Leiner,"...apredicen tantos filósofos. Apenas duermo unas cuantas horas cada noche. Debemos continuar adelante, viajando cuanto podamos cada día. Pero cuando finalmente me acuesto, el sueño me alude. Los mismos pensamientos que me preocupan durante el día aumentan en la quietud de la noche. Por encima de todo, oigo los golpeteos de las alturas, los pulsos de la..."
Audios_WAV\Leiner\leiner_partes_027.wav,Leiner,"la montaña, atrayéndome en cada latido. Al final, he de confiar en mí mismo. He visto hombres capaces de arrancar de su interior la capacidad de reconocer la verdad y la bondad, y creo que no soy uno de ellos. Sigo viendo las lágrimas en los ojos de los niños y siento el dolor de su sufrimiento. Si alguna vez pierdo esto, entonces sabré que"
Audios_WAV\Leiner\leiner_partes_028.wav,Leiner,He llegado a un punto más allá de ninguna esperanza de redención. Ningún hombre muere por mi mano o por mi orden a no ser que piense que no hay otro remedio. Sin embargo los mato. A veces desearía no ser maldito realista. Me siento muy cansado. Creo que he descubierto por fin por qué me doy a tanto rato.
Audios_WAV\Leiner\leiner_partes_029.wav,Leiner,"No creo que un extraño como yo, un farastero, pueda ser el héroe de las eras. Creo que de algún modo he engañado a los filósofos, que llevo injustamente la marca del héroe. Según Rajesh, un terriciano de pura sangre debería haber elegido como el héroe. Curiosamente, me siento más decidido a causa de su odio. Debo demostrar que no es así."
Audios_WAV\Leiner\leiner_partes_030.wav,Leiner,"y que puedo realizar esa tarea. A veces mis compañeros dicen que me preocupo y me cuestiona demasiado, sin embargo, aunque puedo dudar de mi estatua como héroe, hay una cosa que nunca he puesto duda, el final de nuestra misión. La profundidad tiene que ser destruida, la he visto, la he sentido."
Audios_WAV\Leiner\leiner_partes_031.wav,Leiner,"Este nombre que le damos es una palabra demasiado débil, creo. Si, la profundidad es insondable, pero también es terrible. Muchos no se dan cuenta de que es setiente, pero yo he sentido su mente, tal como es, las pocas veces que me he enfrentado a ella directamente. Es un ser de destrucción, locura y corrupción."
Audios_WAV\Leiner\leiner_partes_032.wav,Leiner,destruiría este mundo no por rencor sino simplemente porque es lo que hace todos los demás piensan que debería haber ordenado amputar a Cam por traicionarme siendo sinceros probablemente lo mataría ahora mismo si supiera dónde se ha metido en ese momento sin embargo no pude hacerlo el hombre se había
Audios_WAV\Leiner\leiner_partes_033.wav,Leiner,"convertido en un padre para mí. Hasta hoy no sé por qué de pronto he decidido que ya no era el héroe. ¿Por qué se volvió contra mí? Denunciando mediante el conclave de los creadores del mundo al completo, preferiría que ganara la profundidad. Sin duda, aunque yo no sea el adecuado, ahora que dice Kan, mi presencia en el post de la ascensión"
Audios_WAV\Leiner\leiner_partes_034.wav,Leiner,"no podría ser peor de lo que sucederá si la profundidad continuar destruyendo la tierra. La mayoría de Teresianos no son tan malos como Rajesh, sin embargo puedo ver que creen en él hasta cierto punto. Son hombres sencillos, ni filósofos ni eruditos, y no comprenden que sus propias profecías dicen que el héroe de las eras será un extranjero."
Audios_WAV\Leiner\leiner_partes_035.wav,Leiner,"Lo que señala Rahesh, que son un pueblo superior y que deben dominar en vez de estar sometidos. Ante tanta pasión y odio, incluso los hombres buenos pueden ser engañados. A otros hombres les preocupa si serán recordados o no. Yo no siento sus temores. Incluso descartando las profecías de Teno."
Audios_WAV\Leiner\leiner_partes_036.wav,Leiner,"He traído tal caos, conflicto y esperanza a este mundo que hay pocas posibilidades de que sea olvidado. Me preocupa lo que dirán de mí. Los historiadores pueden hacer con el paso de lo que quieran. Dentro de mil años, seré recordado como el hombre que protegió la humanidad de un poderoso mal o seré recordado como un tirano arrogante."
Audios_WAV\Leiner\leiner_partes_037.wav,Leiner,"que trató de convertirse en leyenda. Aunque muchos terricianos expresan cierto desprecio hacia la ciudad, también sienten envidia. He visto que los porteadores, a hablar con asombro de las catedrales, de sus sorprendentes vidrieras pintadas y sus amplios salones, también parecen muy afusionados a nuestras modas de vestir. En la ciudad de México, los porteadores de la ciudad de México, los porteadores de la ciudad de México, los porteadores de la ciudad de México, los porteadores de la ciudad de México,"
Audios_WAV\Leiner\leiner_partes_038.wav,Leiner,"La vez vi como muchos jóvenes cambiando sus pieles por trajes de caballero hechos a media. Ahora ya estamos cerca. Extrañamente, en estas alturas de las montañas, parecemos finalmente libres de la presión y el contacto de la profundidad. Ha pasado algún tiempo desde que descubrí lo que era eso. El lago que descubrió..."
Audios_WAV\Leiner\leiner_partes_039.wav,Leiner,"Fedik está bajo nosotros, puedo verlo desde aquí, para eso es más extraño desde esta perspectiva, con su brillo, brillo vetrio, casi matálico, casi deseo haber permitido tomar una muestra de sus aguas, tal vez su interés era lo que enfadó a la criatura de la broma que nos sigue, tal vez, tal vez por eso decidió atacarlo."
Audios_WAV\Leiner\leiner_partes_040.wav,Leiner,"apuñalándolo con su cuchillo invisible. Curiosamente el ataque me consoló, al menos se desde entonces que alguien más lo ha visto. Eso significa que no soy loco. Nunca quise ser temido y lamento una cosa y es el temor que he causado. El miedo es la herramienta de los tiranos y por desgracia"
Audios_WAV\Leiner\leiner_partes_041.wav,Leiner,"Cuando el destino del mundo está en juego, usas las herramientas que tienes a mano. Sé lo que sucediera si tomo la decisión equivocada, debo ser fuerte. No he de quedarme de poder para mí, porque he visto lo que sucederá si lo hago. He decidido que tengo que dar gracias al odio de Rajesh. Me hace bien recordar que hay quienes me aborrecien. No es mi idea de hacer nada."
Audios_WAV\Leiner\leiner_partes_042.wav,Leiner,"buscar la popularidad ni el amor, sino asegurar la supervivencia de la humanidad. Hay algo más hermoso que el sol, a menudo lo contemplo al salir, pues mi sueño inquieto suele despertarme antes del alba. Cada vez que lo veo me tranquiliza la luz amarilla a asomar por el horizonte, siento un poco más de determinación."
Audios_WAV\Leiner\leiner_partes_043.wav,Leiner,"poco más de esperanza, en cierto modo ese es lo que me ha mantenido en marcha todo el tiempo. Estos son mis temores, mientras escribo con la pluma cubierta, descarcha la vizpa del renacer del mundo. Rogelts observa, me odia, las cabrillas están ahí adelante, latiendo, mis dedos tiemblan, nueve frío, mañana terminará. Extrañamente, en ocasiones"
Audios_WAV\Leiner\leiner_partes_044.wav,Leiner,"Siento paz interior. Se podría pensar que después de todo lo que he sufrido mi alma sería un arrojijo de tensiones, confusión y melancolía. A menudo así es, pero luego está en paz. Lo siento a veces, como ahora. Asomado sobre el acantilado congelado y las montañas de cristal en la inquietud de la mañana. Contemplando..."
Audios_WAV\Leiner\leiner_partes_045.wav,Leiner,amanecer majestuoso que sé que en ningún otro será jamás o igual
